pierwsza_stacja,druga_stacja,corr
GŁOGÓW(151160060),RACIBÓRZ-MIEDONIA(150180060),"[0.4477979441419472, 0.4627118001570989, 0.48048947925102004, 0.5006032489339387, 0.5221524776267976, 0.5483559541540624, 0.5807553082982748, 0.6169678485264193, 0.6600727963489632, 0.7126270111251106, 0.7725484959633812, 0.8243051625731168, 0.8388278196998766, 0.8140789158713443, 0.7811748860512194, 0.7485841934449181, 0.7186079832549859, 0.6909001007281638, 0.6662310613137267]"
GŁOGÓW,BARDO ŚLĄSKIE (250160410) Suma opadów [mm],"[-0.05978029885152728, -0.05627674806943194, -0.05468629361873001, -0.05235228513188332, -0.058955343580836594, -0.06655153081843132, -0.06496365519678161, -0.07477880813144991, -0.08370464497214478, -0.08084611952183536, -0.07256683192560837, -0.03969222405073448, 0.009102718823417115, 0.06367249300738753, 0.07067860252298372, 0.06152151948097864, 0.04751503950970464, 0.03343821647755684, 0.020599089821087813]"
GŁOGÓW,BIERUTÓW (251170270) Suma opadów [mm],"[-0.09989040829501232, -0.09905772719854518, -0.1068279272862876, -0.10795676381767874, -0.11482770567112714, -0.11649742136282061, -0.11927233501589268, -0.12618627370778168, -0.1334848957308088, -0.1307130114232748, -0.12050423098356955, -0.07430553954059035, -0.023843069410833553, 0.030790580406580424, 0.03902895150918842, 0.029285599783352528, 0.013133435814954792, -0.008234791003490618, -0.01999977004647528]"
GŁOGÓW,BOLESŁAWÓW (250160610) Suma opadów [mm],"[-0.08606719194881218, -0.08423411669091109, -0.0856258212132328, -0.08562548576217571, -0.09180528993563322, -0.09518330781748058, -0.09606204330336197, -0.09946234889001883, -0.10479893298853536, -0.09938390406491782, -0.0846989394045185, -0.04865027903840353, 0.008997723175777862, 0.07670811578286506, 0.0867113646466137, 0.07546361938021531, 0.05832228708938343, 0.04007242822637032, 0.026906523401149747]"
GŁOGÓW,BOLKÓW (250160030) Suma opadów [mm],"[-0.037576511706022844, -0.03786443954830452, -0.040629020000899026, -0.047166304162814345, -0.056429133931571195, -0.06534811710509018, -0.0680188120302747, -0.07649897826073891, -0.08257417873920896, -0.07704380308091181, -0.06510708477653333, -0.016732195943300415, 0.04177041481235101, 0.08812452836216274, 0.09715127237589713, 0.09119979537743193, 0.07693951177194076, 0.06386481182169086, 0.05365418571530168]"
GŁOGÓW,BORÓW (250160070) Suma opadów [mm],"[-0.03857695790939106, -0.03297009782326137, -0.035546756205554995, -0.030155966361742666, -0.03430401414778314, -0.037538651203375066, -0.034718224730423686, -0.045360015134036015, -0.05693098961041572, -0.06521911678962654, -0.0491730821737139, -0.011408218539922674, 0.03345264445069604, 0.08201407739744794, 0.09605443869176837, 0.08794324486834829, 0.07422242599677559, 0.06132557967030984, 0.04790004408050072]"
GŁOGÓW,BRZEG (250170050) Suma opadów [mm],"[-0.026855016173010837, -0.013415064240977478, -0.009859420981753731, -0.0026298352171005225, -0.01129177858087029, -0.02422550998918384, -0.023398889501596527, -0.024702954846446187, -0.039255976732508, -0.03864108194903795, -0.020002044844491588, 0.03105074976630618, 0.09625314813678121, 0.15711999822692013, 0.16189923083906674, 0.14832546768339946, 0.13371042934481647, 0.12127880597765398, 0.10887693768530539]"
GŁOGÓW,BRZEG DOLNY (251160230) Suma opadów [mm],"[0.020335668251178763, 0.02162678159295294, 0.015098904007008094, 0.0076858569692450675, -0.005255697586262678, -0.015608713355054217, -0.020657999490297705, -0.037093828037273874, -0.05685672851397568, -0.0547519142280353, -0.03109650389523059, 0.019292435905421186, 0.07924469045394865, 0.12470616219878164, 0.1372353261022681, 0.13588407039015463, 0.12116324758030518, 0.10907008762869977, 0.09812888715707772]"
GŁOGÓW,CHWAŁKOWICE (251160170) Suma opadów [mm],"[-0.06791254046375653, -0.07027304379152917, -0.07289037123297354, -0.07436292769390032, -0.08373012105164737, -0.0928952277014096, -0.09147028928967033, -0.09968460698288653, -0.10425747697135758, -0.10187879416337131, -0.08706853492729533, -0.04635633200785692, 0.002531257325434284, 0.04689517806257814, 0.06350996624414366, 0.06023220195532859, 0.044327682722183674, 0.02994641644497969, 0.018438632370465]"
GŁOGÓW,CIESZYN (249180130) Suma opadów [mm],"[-0.09695235869956027, -0.09799952964464714, -0.09788013939377947, -0.09216285319279428, -0.08909584349597585, -0.09222634151228037, -0.09589618574593667, -0.09123177776121844, -0.0961555596018966, -0.0914933741656394, -0.08172425069033333, -0.04203319072974597, 0.032357099565141705, 0.12157813040537369, 0.13016188259329006, 0.11567855398470146, 0.09457340624752857, 0.0715294498356906, 0.051456869730823133]"
